K 5th I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
5th I-TDS	5th I-TDS	5th I-TDS
950.615836538886	0	1.11681427241798E15
952.304621601508	0	1.22843021625383E15
954.250472848088	0	1.2896502591815E15
955.848670588048	0	1.27925520493053E15
957.229259543459	0	1.32829707757949E15
958.824701992014	0	1.24613802457771E15
960.548481664031	0	1.14437293186941E15
962.183707671272	0	1.20630311266132E15
963.731596838376	0	1.30961194000485E15
965.621603114419	0	1.25672144723811E15
967.123484756772	0	1.40963065720398E15
969.137756098073	0	1.26216715866041E15
970.593694440056	0	1.15974082543301E15
972.262513257767	0	1.42391841832849E15
974.18515842166	0	1.35713490980761E15
975.678077229854	0	1.23604295042705E15
977.25653557223	0	1.20239826827942E15
979.130643000147	0	1.29725657734898E15
980.916723828416	0	1.26863288744424E15
982.488938319636	0	1.25172644597033E15
984.102847214974	0	1.3232952166066E15
985.756393601356	0	1.29103114889862E15
987.281472111075	0	1.31063950601584E15
989.143521803558	0	1.29155167323517E15
990.66526227158	0	1.21323668834449E15
992.227606953223	0	1.25934196967007E15
994.336947795907	0	1.26189240279099E15
995.684618549761	0	1.28845440902247E15
996.948131312506	0	1.21612030955279E15
998.714756607172	0	1.23816860282018E15
999.974865452317	0	1.28172527841152E15
1002.1574201317	0	1.18065899935215E15
1003.87545980165	0	1.36412509219734E15
1005.42466187514	0	1.29322802047678E15
1007.30693411915	0	1.19593785831472E15
1008.56119270268	0	1.37208781590796E15
1010.27333979968	0	1.20170883952233E15
1011.9411752175	0	1.20841665357294E15
1013.48271177345	0	1.34454080901693E15
1015.39726618777	0	1.30262910436911E15
1016.93564685928	0	1.31574226436466E15
1018.5150138607	0	1.24859233845011E15
1019.96785982885	0	1.34638041555476E15
1021.58491159594	0	1.34878593663923E15
1023.28406901492	0	1.25437869192738E15
1024.85689633068	0	1.30602989037364E15
1026.34591867933	0	1.35682714006848E15
1027.54435267109	0	1.33571880544403E15
1029.40284948839	0	1.18369474282599E15
1031.30074717082	0	1.30577482122122E15
1032.99137541108	0	1.28512928961585E15
1034.92706407687	0	1.24354556192123E15
1036.03839450391	0	1.19205252711262E15
1037.97141301676	0	1.44430585891382E15
1039.41010470233	0	1.20941135165329E15
1040.8479345892	0	1.36182168596407E15
1042.44961513252	0	1.43009872288592E15
1044.13119902331	0	1.31927157307848E15
1046.01802374498	0	1.27644093078136E15
1047.41050245912	0	1.28106094169185E15
1049.17178183806	-99105931424925.5	1.23932856530976E15
1050.64542479062	919783225121363	1.52451558338515E15
1051.87359119131	607510692945649	1.33373713953206E15
1053.50926236719	364229281119584	1.32379239074916E15
1055.26749165437	-69290352136036.4	1.27175447385495E15
1056.86104068012	647135482847232	1.43131264926433E15
1058.25031976233	-175389035614932	1.30113375167668E15
1060.00491075755	843977275949193	1.29232393192099E15
1061.64328959824	412188986646014	1.31481615005818E15
1063.18874280425	133425003466799	1.22309979879203E15
1064.98369116389	931379747250464	1.30575530447402E15
1066.6580745621	935674695607930	1.36178102669659E15
1068.16576966679	349903689249823	1.24189166548873E15
1069.5531197949	-567476863066131	1.26892079496094E15
1071.51382896975	-408668943036470	1.28627643718568E15
1073.10459921769	470810608652303	1.4216538829296E15
1074.69544532684	-6242883286066.56	1.30992104434145E15
1076.2031795883	1.12158596160771E15	1.4175756281474E15
1077.84062371023	1.44392475336072E15	1.48145115053857E15
1079.31179506624	1.56904274737968E15	1.56451117308522E15
1081.06092803743	474989676196482	1.43510353273217E15
1082.61613219065	940015282802393	1.44374829204726E15
1084.208845526	1.28654074370653E15	1.55684167829541E15
1085.92256233447	737506497636172	1.41507440016045E15
1087.51651294653	884484159951255	1.44306654970783E15
1088.823706717	1.47003703421503E15	1.44468758505826E15
1090.50249849264	1.14271423482406E15	1.47699952650128E15
1092.51643779424	-69843082956207.1	1.30211426927271E15
1093.86298399407	821701203060770	1.42609753137472E15
1095.78654499268	1.28947376504481E15	1.51912553763892E15
1097.1070009229	1.58869869956709E15	1.51757030077792E15
1099.11711458196	835634254681826	1.57786192052826E15
1100.38375071866	1.22140485374292E15	1.47720441111551E15
1101.86564726696	114032859296914	1.48735212764223E15
1103.60070227803	971356964685928	1.61343765130521E15
1105.24406529421	2.41795768818787E15	1.60513476690625E15
1106.88906133348	1.43111296139973E15	1.57996699658874E15
1108.83536939904	1.69635629280296E15	1.46746053458112E15
1110.19366525289	1.78169479315241E15	1.64409858798596E15
1112.09744505028	1.87156469243185E15	1.65141039978244E15
1113.29920963415	2.07815439475649E15	1.61170438726095E15
1114.75592689501	1.58628101132121E15	1.56060375533597E15
1116.58150440856	1.86059534237502E15	1.64249249820489E15
1118.3249029255	1.74811328719256E15	1.58289465373457E15
1119.74033993681	821180479312904	1.57783172048327E15
1121.4033321816	2.23182557733915E15	1.53594387794966E15
1123.11614634581	2.10829439925418E15	1.55595501995253E15
1124.79372448593	1.28475016847104E15	1.56272153773911E15
1126.17000045094	2.5645877080631E15	1.67873558308452E15
1128.01425198136	2.12198887336632E15	1.66787744617103E15
1129.73799240756	1.65473031539586E15	1.70226269760687E15
1131.25473867732	2.42777445571106E15	1.76397745665951E15
1133.10864672521	2.57450943962194E15	1.72372817761989E15
1134.7170916371	936930309769415	1.51153180393414E15
1136.49160521791	2.3000322030096E15	1.69250110822573E15
1138.35627186615	1.89392745019637E15	1.68013286418293E15
1139.5020454694	3.52903095028014E15	1.74487133930097E15
1141.50844933207	3.21478849664306E15	1.743901269921E15
1142.90999173129	2.85222580430316E15	1.7253048329715E15
1144.87617332301	2.7624417527236E15	1.85516253955546E15
1146.545850536	2.75717624372678E15	1.76641094119429E15
1148.21904123775	2.76122441278475E15	1.65876982511336E15
1149.85677756253	3.37019512407346E15	1.8478282770529E15
1151.53711232166	2.82115677710782E15	1.79462914033294E15
1153.13294711923	3.62842519894627E15	1.91267423974604E15
1154.73216968067	2.42691700406852E15	1.82481881709278E15
1156.07896060263	3.77944692942403E15	1.89496782491858E15
1158.1679077979	2.83865674187371E15	1.80916220352802E15
1159.72866332093	2.34953031381655E15	1.81052872143634E15
1161.35226235637	4.18592115823239E15	1.90041567067975E15
1162.7511081909	2.1442786741675E15	1.7754877735895E15
1164.50105472097	4.2211896983865E15	1.93862078836289E15
1166.26532905243	3.62061110321735E15	1.94470921690625E15
1167.93400633331	3.27113695842192E15	1.9597103635999E15
1169.57660412392	3.80837369487815E15	1.95788716227779E15
1171.38394584333	3.81367195197543E15	1.98215869162295E15
1173.07507861009	4.5409083323523E15	2.05015623636358E15
1175.47799618299	4.66321806960312E15	1.97648562044234E15
1177.04746622121	4.07877485625551E15	1.99766971268741E15
1178.79330163502	3.88327112582913E15	2.01407825371063E15
1180.2685591801	4.52467757419394E15	2.08116346618443E15
1182.11457721089	5.28888519147219E15	2.0969181785346E15
1183.74035055371	5.95645233134477E15	2.01978716379332E15
1185.68819117471	5.98319850400564E15	2.19436105681611E15
1187.27105007783	5.90470215283752E15	2.07788953867621E15
1189.08452050003	5.21405390383466E15	2.10719431254093E15
1190.7786628907	5.77268545625505E15	2.12960982885834E15
1192.88145625069	6.34790904103835E15	2.16126036903796E15
1194.52253601136	5.95088348966627E15	2.12775887172745E15
1196.40726155968	5.75412557030529E15	2.08235769704534E15
1198.16115579179	5.52141202546862E15	2.11736569467535E15
1199.82510324698	6.86289282792161E15	2.30003086151166E15
1201.57695774058	4.90576888643944E15	2.16332215458532E15
1203.34361114116	8.15149541341111E15	2.31492127229367E15
1204.63978058545	5.44806530248404E15	2.20036897603125E15
1206.83688813804	8.45727689486057E15	2.2784978773291E15
1208.42537596526	8.24773440774934E15	2.48647693623848E15
1210.34661117917	8.71575374903287E15	2.40770294926868E15
1212.50710744099	8.84911260918622E15	2.45654293495468E15
1214.19282468855	8.32301494422768E15	2.37895506610613E15
1216.03198123035	7.51261236058844E15	2.37209891861307E15
1217.92896843735	8.53520278254853E15	2.46251430461192E15
1219.40025187845	7.28466271733649E15	2.33611267863617E15
1221.39109454586	7.50534427594541E15	2.45536996335961E15
1223.44051849449	9.03251959821208E15	2.52756045942847E15
1225.20247567683	1.055234706299E16	2.63376585332362E15
1227.01119064366	8.08568276685289E15	2.45805133981198E15
1228.8342376352	9.3795590631298E15	2.54290506073931E15
1230.90012218194	9.11315969317772E15	2.63779841612706E15
1232.87206475602	8.21890119988307E15	2.53464609516175E15
1234.45445595513	9.73825150964319E15	2.67367258600301E15
1236.23600026478	1.01710227561872E16	2.5389772504785E15
1238.45858446057	1.0090560584453E16	2.55428756425242E15
1240.30103597072	1.05800237404049E16	2.64655079342152E15
1241.99226210316	1.00904201573299E16	2.72628211058651E15
1244.27981354652	1.03312259393872E16	2.74500639640447E15
1245.77743874495	1.12720447741427E16	2.72007357650688E15
1247.82793044785	1.25981713295862E16	2.95437738529077E15
