K 4th I-TDS	Des D 50eV	err final
T sample	D m-2 s-1	D m-2 s-1
4th I-TDS	4th I-TDS	4th I-TDS
633.94919401966	2.11521604130314E16	1.30887480501279E15
635.879906945087	1.92098959319965E16	1.28368595292878E15
637.256154755471	1.56837124171705E16	1.2571460099655E15
638.996992183312	1.50813578048585E16	1.25409232425228E15
640.461391679672	1.89776714372584E16	1.25312127333555E15
642.151476455024	1.38911670547861E16	1.25691037149821E15
643.929881515462	1.15452394337978E16	1.22616113099617E15
645.342320870422	1.23557837144171E16	1.13847356928675E15
646.93438403086	1.02701300036513E16	1.12274249707488E15
648.478998600299	6.60304842157514E15	1.1187941075543E15
649.839686161937	1.0409478069968E16	1.05714440640748E15
651.470912180247	8.34143439431258E15	1.08643018233918E15
653.190212235018	6.60815964546839E15	1.05235612874581E15
654.772047055218	5.23886471438315E15	986661686893212
656.171964118969	6.45245644648096E15	974102574608437
658.064835038918	5.05179141269388E15	1.04859693165142E15
659.461342838532	4.2462833721069E15	949771960520880
661.215216400738	5.65303526184186E15	895982836074113
662.473220008768	6.26915011709851E15	912479809693086
664.0892239467	3.48716675389315E15	866632205000604
665.390539631028	4.21710897374549E15	774544598833682
667.360772596229	5.11390619052607E15	857333320165488
668.479878707202	3.47269893772188E15	809621620570821
670.179908875601	2.46254398389359E15	762993214793391
671.966294217343	2.97128209896506E15	726324667242630
673.528392955508	2.68531199556991E15	755019105927825
675.08914412913	3.20784562175226E15	716793756728517
676.11444378004	2.97756598667731E15	682734751324479
677.93943585114	3.40171708657395E15	724302951735394
679.318167988206	2.10529445043322E15	737586303067165
681.185597541696	2.40633151686809E15	650267889856329
682.918539736479	1.23532253378657E15	668455951225853
684.117013363449	3.26150680602562E15	697573035208093
685.890940726148	1.36454617523638E15	648494143083729
687.619360790052	1.3725358541915E15	607970118146094
688.90485390965	1.56500146108577E15	623725851445544
690.764689454314	204911485359592	608841429425509
693.175692241681	2.3493039728015E15	624557367534068
693.993614199374	1.46540126195676E15	623892303468897
695.849164830831	987359760455990	633867965629328
697.307199811053	-91726521984540.5	585855499518287
698.455356849363	516770222903926	582238684827444
700.353451661554	395755651733552	535109924226298
701.76463879903	872484558432876	617736951873906
703.397227735501	213934667377759	548351750506236
705.16007352437	-132907425030031	546228451612043
706.305951387862	576959785594603	547802054488512
708.376232183548	1.06963695787596E15	491900724314178
709.654138352911	-640442674061100	574314871665568
711.370865374738	534884918673364	535605728579810
712.778815797385	-709919313166461	523800684712030
714.760016609318	1.07973400246144E15	479351055527213
716.298916896607	-320326196152647	488540064553847
717.794652225008	777142503252886	487458667067251
719.466592502955	757808982797326	509855986848700
721.22497757614	-184436342565497	464364938021234
722.763849599122	-321679093854794	445138493586483
724.698165415901	-858370632255079	485653835803331
725.708584872651	-779234022890196	498554290446022
727.335714579406	-841807831931848	431178782528532
729.049422382612	712533716837003	472305136504250
730.675379837111	-710664322815735	429264771134220
732.609142455079	-1.17430820887361E15	496580194255688
734.059704186004	-781828056064082	441241174631563
735.377774003366	-445757159611773	492025068680560
737.047566678239	408739000802476	490580263614948
738.718424558242	620170805241592	423926194642749
740.344539276266	-597544761200252	432317695248513
741.970769188954	128865598239830	411546982332352
743.861237855998	-377285866659727	410583296977047
745.092103202127	-896473381805366	403991362370428
747.114539764414	-27053073643019.5	480911516567993
748.477295788726	-119944134991936	397692414987915
749.88507709473	-230901112769985	385916989968295
751.293038417305	-313236845768672	402458197059673
753.228802485688	-587526545064614	417680455995513
755.032277957119	-131585044002911	459019385254774
756.353193967301	-557300552432986	457478953421755
757.717223431644	-54358113230317.8	397494694921985
759.830072094549	-675264543598396	431241102047549
761.416331102858	-76022990061437.8	407891712617405
762.956990370324	22731512308228.5	388660538812590
764.71971448381	-884105510754872	425374023283491
765.953384558184	-253294367098968	403811756931423
767.892744196976	-302531052672387	403975445315257
769.523801542775	-130461876308997	387064980848587
771.155267803955	504094455021959	378364921023297
773.096177323687	150086255920462	407891712617405
774.331433269215	-364271592017444	390518610824143
776.053203285396	-74929283770693.8	407891712617405
777.951617643432	-1.22887089955258E15	356229571528462
779.187861130096	157114739578964	406002732999738
780.954083257655	-633906760505144	414835016447902
782.721836196692	440409565836145	360662279042849
784.069292149057	472542914672519	392307399329458
786.036435466694	-604894688181435	389513516300639
787.540050147265	538960231525973	404164629937908
789.176425214309	118954651132697	432541114806273
790.857398054005	-946680153730020	416880541897748
792.672310277617	-527005605624309	378364921023297
794.221802337716	-454461172024908	398567449208943
795.860051708756	489759199383776	349650310365525
797.809074781072	1.07121644376687E15	416084700926559
799.625120009778	-121339921512233	370615942878274
