K 2nd I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
2nd I-TDS	2nd I-TDS	2nd I-TDS
1118.24003063741	3.26303524141576E15	1.74714943137832E15
1120.03307785324	3.44258817964336E15	1.68383732337982E15
1121.48843723238	2.34288502472725E15	1.62280761298279E15
1123.16349963476	2.67139995575718E15	1.66153749748464E15
1124.70836010226	2.96921446217764E15	1.80118078114831E15
1126.37897450773	3.91346651553666E15	1.8174159522072E15
1128.22360709458	2.98129947755191E15	1.59586422752773E15
1129.69986597117	2.86269018361871E15	1.74403371751209E15
1131.29292679536	2.933537976303E15	1.76362724490877E15
1132.85997156866	3.94850839306882E15	1.89096702942126E15
1134.58294637162	3.84118673335649E15	1.89461691966481E15
1136.45320004115	4.30307473499399E15	1.8935211850871E15
1138.18309393168	3.33220511615542E15	1.81035233255676E15
1139.46350723331	3.32104684502148E15	1.86728835681089E15
1141.72094513725	5.17639012848336E15	1.92645701107276E15
1143.17123110033	4.65891561309039E15	1.85961150097097E15
1144.7016399469	4.42055191833025E15	1.94721826148029E15
1146.67218902233	5.09327945367297E15	2.00190822552347E15
1148.30668993378	3.05070786360993E15	1.87840904470521E15
1149.50554328815	5.48332433224655E15	2.0409419347686E15
1151.36109055053	4.14859080738824E15	1.99236808815557E15
1153.09374520057	4.90535562940057E15	2.02942210512664E15
1155.03670411377	6.50082327554653E15	2.08824555689247E15
1156.38404930358	6.70050453811781E15	2.10384668729369E15
1157.95085292481	6.64305731732296E15	2.18454179668507E15
1159.68910901835	5.9919710214324E15	2.17681371331172E15
1161.48111942143	7.03160936326247E15	2.23947582305664E15
1163.09876517434	4.9641312044357E15	2.02629372712829E15
1164.72010263856	7.74245317620975E15	2.28642404511872E15
1166.26532905243	7.08987418006622E15	2.16090377338671E15
1168.29424441472	7.39951497568708E15	2.20863407559281E15
1169.79724845889	8.2376314303809E15	2.30261040355119E15
1171.74598216962	8.06108423989585E15	2.28343246860129E15
1173.47834258225	6.8529144507548E15	2.19146918843582E15
1175.47799618299	8.82885040415984E15	2.31488223617474E15
1176.68262286043	5.83737801178579E15	2.15383850900616E15
1178.61038861303	9.58401337768778E15	2.44626068856228E15
1180.40097965495	8.62700107232931E15	2.41301609268636E15
1181.75722241562	1.00457920987127E16	2.4499446159328E15
1183.96560574693	9.10938533890634E15	2.4455526272458E15
1185.37000616427	9.42882100230456E15	2.36198010409732E15
1187.40483570098	9.76139831284668E15	2.58262584819247E15
1189.29090009142	9.85362861880925E15	2.52017921705515E15
1190.68558354654	1.42620516115734E16	2.82257583013883E15
1192.65325851789	1.32453701980918E16	2.70438089834717E15
1194.57453209139	1.30439776740425E16	2.68081567654186E15
1196.31342608577	1.27046113096561E16	2.72607539584248E15
1197.8789858558	1.51372278444833E16	2.77107843581737E15
1199.86701376172	1.31528326622905E16	2.84347625884255E15
1201.57695774058	1.4948867885537E16	2.8751803191121E15
1203.61740649202	1.63311648962274E16	2.97232116533785E15
