K 3rd I-TDS	Des D 50eV	err final
T Sample	D m-2 s-1	D m-2 s-1
3rd I-TDS	3rd I-TDS	3rd I-TDS
778.215861964919	-483507521119425	438051106248362
779.629367313786	13496254098997.9	389859285630538
780.998145429716	-620487135949657	388302293886005
782.721836196692	-792215137196513	382721377517354
784.445032332562	-841792245973771	330600135349248
786.346148269418	541568681620976	360858793886913
787.84984312863	-302358868486975	416591772442695
789.574559217577	-1.17810073322009E15	373256724362701
791.255647150987	-536908287767847	375632592221453
792.848915611137	-662548865859324	417325184898690
794.841111453382	-1.07025508532512E15	353452756396809
796.613076038999	-1.14634331891203E15	374448653721148
797.941643559801	177996228895023	409514592829739
799.492514101638	82915948742745.4	386507882353159
801.354284849525	-37502732182668.4	371767591591505
802.772343338555	347146694821453	360260528758319
804.546628652087	227253365332542	429194340885197
806.276157342418	52147670739735.5	377753850991458
807.518286683312	-535159971955583	318606624811852
809.382426042729	-316085558112080	366055544556659
811.0689494542	-214658183556982	363413868678693
812.88977367992	-633765561088657	335761974768317
814.311330521505	-815278184171772	295464198490951
816.443180909249	734100490133581	352276326709374
817.86542336815	-164336188757733	367583753836653
819.109596294293	-459400292356538	369899437309506
820.309626673706	-308771702236272	383793650874403
822.931960361838	-1.10148870228077E15	373519059492507
824.844282613526	-242783469446858	364700957306791
826.223578449693	-433619679028002	332094455459025
828.358443326758	-552007162864271	321682170172596
829.515307455245	-670393665086176	336871479166990
831.606443009731	152833097289873	312648183661902
833.475966151718	-555368479452813	313867711386473
834.722129499178	-15970462353993.9	404187804157482
836.858521346355	-796385132175729	353620720376627
837.838514994945	-28765164601216.1	292913415400506
840.01972960544	62194185014769.5	320410195924973
841.845836785042	-837973837828984	285236635235342
843.360129733378	-541906394968027	346264825770792
844.874504045714	0	338207763019605
847.056323944787	0	323047184930945
848.704108348784	0	303044961423719
849.862220653539	0	362033372595398
852.089605787035	0	307515284825510
853.648559920878	0	355738201249835
855.02877313506	0	302397455835696
857.077309607614	0	358215388675978
858.413990866427	0	349884849686147
860.373456230333	0	304478084434626
861.797765946843	0	330080983946645
863.489427419417	0	365288766362426
865.003287903241	0	330600135349248
866.961972376874	0	341418988741596
868.742775495413	0	379742635351534
870.389124244768	0	345555123070384
871.990818674091	0	294216241535612
873.859433662889	0	378359526198123
875.504832960039	0	335098635329911
877.01683372466	0	290954908489777
878.661524158197	0	284853980098158
880.750053763578	0	322864294168942
882.438093036635	0	297896751387982
884.570600134168	0	357731676388342
886.03508125177	0	286281150295427
887.588686764418	0	322864294168942
888.920533569194	0	392158622655291
890.738640590664	0	288779716003220
892.29069157065	0	302397455835696
893.886389697277	0	307515284825510
896.102058990551	0	316122438832320
897.563760055959	0	299443711373606
899.156332053643	0	289558761829058
901.148326027634	0	323560243133287
902.65110318201	0	305578542817758
904.507851379188	0	247249892865991
906.142281345238	0	356915730753828
907.6878050073	0	340055794515935
909.717624441753	0	293635767905617
911.085396541907	0	366055544556659
913.068913864581	0	293345292442316
915.007106826111	0	332685405527195
916.371302003545	0	310955216864098
918.219379002467	0	343297803773108
919.933626839924	0	296468503996873
921.296220050733	0	281829746095868
923.139699659274	0	358917636443474
924.369229733327	0	379742635351534
926.386219228418	0	362201595561329
928.182031527712	0	320704547988952
929.714491741963	0	283412748091985
931.595857866211	0	295806098660883
933.475587627124	0	341615313401579
935.178487020929	0	307102237566596
936.662435112022	0	292766718926239
938.232267577124	0	376330135938555
940.149396177028	0	299011971240964
941.847674244586	0	350544151135505
943.325673919601	0	410319356591283
944.977827530389	0	283487581716337
946.670841517936	0	345686330257256
948.275811723518	0	312187864109048
949.749730674869	0	370371694788605
951.568856750399	0	358601213886692
953.083219484495	0	286281150295427
954.941050543773	0	297591802698214
956.668742559706	0	304478084434626
958.178688204186	0	344534852935753
960.032020517121	0	319157588003328
961.624827343235	0	318159512438042
963.259000413562	0	300956223829524
964.677358135506	0	294216241535612
966.737446443255	0	353452756396809
967.938045623866	0	329193198668017
969.652338256589	0	334232365512819
971.450139360266	0	299249638318683
973.117094373659	0	322864294168942
974.867451334773	0	281599022522618
976.744411133583	0	354738171265909
978.23587008567	0	274377542895452
980.023939199715	0	358917636443474
981.767574108243	0	327214650754515
983.465953261355	0	288864255762677
984.95099109492	0	304478084434626
986.603631777758	0	316122438832320
988.382089055583	0	343297803773108
989.820248928019	0	352040691701197
991.551933496521	0	362201595561329
993.366778492729	0	322864294168942
995.095455104143	0	351077480562794
996.590367485794	0	363677325265872
998.167726622238	0	297896751387982
999.68064509788	0	268121556135383
1000.81437538477	-893029856080034	300956223829524
1003.37297403154	-981584522877899	342501157026394
1005.00618404246	325889124736055	287224669821312
1006.5125714713	-874382231136498	320228035390324
1007.80913325684	288907734285734	303036455239751
1009.81353643852	-768434128329701	321468397366042
1011.23226782877	-274995379785126	364656104710891
1012.64977925617	-280521664682642	300070252392056
1014.6483105548	-87753592358634.7	313298298138766
1016.18736751783	-138079479992301	323323904853152
1017.55927819262	-415610725061610	327426838515991
1019.55207712619	-175060870442622	247575919765259
1021.00406983234	-272926609534136	265171904082598
1022.37222607134	-112651474780943	358215388675978
1024.19451991931	70802171921200.5	270261944836101
1025.89127265721	-279955814424115	354355092096425
1027.46191984792	-1.03029475475595E15	279992765798882
1028.65966212445	-289760901940970	305742440988431
1030.8060999146	438704863217589	305742440988431
1032.41396882101	135486728330121	332027305546516
1033.98044781598	519743110122995	324247403322352
1035.42074681851	31852773503959.2	313298298138766
1037.10814492441	345629369398953	318606624811852
1038.50636596206	77893058297558.1	319586682635311
1040.35540540043	450319929942931	313144962684914
1041.95646827761	102312252303957	333165306783408
1043.39284700914	640305319419335	315427189618212
1045.36196172898	1.26156199261577E15	271320780025139
1046.96003914172	312925341734196	311664781913646
1048.35300827775	-130410676314036	357731676388342
1049.78618892396	536657857716017	331554615725308
1051.46363173922	495881619884918	366381151379323
1052.81391130374	562089309819887	343151743782343
1054.49088723891	83990553840550.9	355177803065241
1056.08471979508	170800369808820	330304931246651
1057.55572941786	-271042881795891	364656104710891
1059.71791784949	504969441476945	331554615725308
1060.74547374523	688184510670171	371865627356931
1062.62427317191	576699969416918	392587338340997
1064.41933812738	333389652542648	330527609794705
1065.80703652272	1.02488418079983E15	328769730830835
1067.43506342809	666297828619741	366343269864521
1069.10917544562	435055599401890	354809117785151
1070.78319194052	239533771479030	373519059492507
1072.25371685094	352023770609028	337444226774941
1073.76127273771	974299408559360	335654894138482
1075.43541811811	21658260036844.7	316097258845223
1076.77671900186	1.23500316144256E15	352396480588224
1078.53453976821	365148463983263	379003535470115
1080.41304733763	869639688758571	355088064947865
1081.88476228896	662584876258927	350804012341698
1083.63466746264	894829210025308	400691232171930
1085.02393304065	780829584246417	369951601399781
1086.82139358695	917752284259970	354809117785151
1088.25812215978	213937583960298	324058520913148
1090.17779979081	1.46401179143026E15	343576266884084
1091.73667882527	911970561648166	372530521559508
1093.53789186665	304564467901666	332795099697440
1095.0150785674	1.6457172339746E15	392170057495505
1096.65126336478	1.16911124443878E15	356915730753828
1098.21418820547	1.18776902293126E15	356114434053415
1099.81552733211	732548900001942	374448653721148
1101.45544616997	952254697750497	379153438494719
1103.14345421457	1.14675746735516E15	358457996557256
1104.62761735697	1.30702924878014E15	392307399329458
1106.11308728868	1.13694567318187E15	340843938082240
1107.63734966849	1.32063454406472E15	397000525611144
1109.24740924314	1.59618906745195E15	386578862875348
1110.94361584918	1.00209519031182E15	363412667210015
1112.43533359527	594240996049665	418670782291900
1114.25764093262	917809172584358	366342336741545
1115.91307358538	1.22202941202036E15	399725246454181
1117.28798610132	1.28721143054499E15	336189642496357
1119.07015372706	581907317130016	382856529816103
1120.74162366878	1.78467354399462E15	380638133099546
1122.61432804879	289525301556685	370948781991735
1123.91195719525	1.44045736040821E15	376713075997743
1125.37248812367	1.77716718408681E15	382104393343891
1127.34841304594	2.03431802042636E15	409225501433364
1128.72814367166	1.76759396742244E15	373270225004594
1130.53899424836	1.09878058256279E15	372683930201625
1132.14301098595	2.70160491843175E15	365489014896331
1133.99868692446	1.47970911844378E15	380099008599366
1135.85813190883	2.76353380574738E15	394596678213872
1137.46188998844	2.52195483282555E15	355936598290680
1139.03970103567	2.44397548724058E15	408942516137524
1140.56253096643	938013346080829	338069250571109
1142.18476050032	2.70318312035205E15	381121374709447
1144.02325612582	2.73486329653661E15	425616373420306
1145.94358875893	2.79981009088055E15	427283772564790
1147.4890158776	1.78851531327944E15	412679279029153
1149.03747838	2.79000165003548E15	385710847915800
1151.01894209161	3.88406601849444E15	428407780681685
1152.65286395611	2.31670664620618E15	359650659109412
1154.04496852253	3.2099682795744E15	447029873731325
1155.59698051337	2.81542630191862E15	415967157770479
1157.59581137384	2.69061948407435E15	431394355897831
1159.29368494817	3.78444527502438E15	374309228600471
1160.64891282978	3.67170989816474E15	461303065383711
1162.13567515566	1.70476621856175E15	439053689309402
1163.71503279482	3.97995685583401E15	461512122861417
1165.77647086131	3.56278152929355E15	406511968124019
1167.32402749031	4.01667600834931E15	458815714709821
1168.99524159582	4.17826663342712E15	494777759882978
1170.90152596288	2.25612255656028E15	440090766439977
1172.09814426802	4.4482881652604E15	462642621379898
1174.62894596215	4.36248716049709E15	449968161998683
1176.51040338607	4.0841755281828E15	439053689309402
1177.75744205643	5.41475967969926E15	486662992238685
1179.50509657729	4.08415866797743E15	465952123943589
1181.34904612633	4.85992906041313E15	386650211516674
1182.78895618319	5.3639431301706E15	473046696806791
1184.86737055461	4.42336671597629E15	468523017673859
1186.36611096689	5.32868302368808E15	445403441819019
1188.4039073412	5.92634868463595E15	493396082783614
1190.23070975037	6.03907726127487E15	429288923115713
1191.82408138947	6.43587217908557E15	514605960234155
1193.60803932918	6.14478007991632E15	507513148550392
1195.62568234323	6.18577468172275E15	484343859987465
1197.09577121069	5.94646886248943E15	523319731778986
1199.03973702183	4.81542645690836E15	463175319410963
1200.93656266106	5.57937739918121E15	501252420664450
1202.82789212299	6.21245687586871E15	519457790345994
1204.50267849607	6.03986492240124E15	480192095958232
1206.41386093812	7.14599067186019E15	484319415174932
1207.90609995538	6.86869800429979E15	550618933691583
1209.59239897132	7.23156851948617E15	552997542123054
1211.70819233467	7.98040453982554E15	551460682867802
1213.25349916502	7.7996910482808E15	566213148115870
1214.62015879739	7.97035752147155E15	552602535746970
1216.83525270552	8.50858916609585E15	531882448960450
1218.68039544335	7.30963665387613E15	493049327486285
1220.68031614666	6.97416415892677E15	528084783132313
1222.63096458799	7.67521504364294E15	540582873969792
1224.57512828803	8.0272137120457E15	550266992430848
1226.15513264432	9.04805469255687E15	571547827495361
1228.11762804099	8.83168210110714E15	556442678264429
1229.88839044175	1.08368410529972E16	585991827331803
1231.85838843574	8.91595116506494E15	604962716431167
1233.53747740347	1.0611718066254E16	558459805203903
1235.13176523426	1.04977217938033E16	610594309252193
1237.49458831411	9.59662499437958E15	628067260026565
1239.47817948849	1.18484631969122E16	610437397721862
1240.98166009146	9.27557726275747E15	563253290305849
1242.95962386408	1.09144218788204E16	599978210962808
1245.10552968068	1.24817710975597E16	592311274249113
1247.00081639301	1.2144389982539E16	615694711693844
1248.89824206374	1.31433066400358E16	624295979582320
1250.69818207145	1.37305809625461E16	648718879370412
1252.74295620394	1.18205629213975E16	597856947524011
1254.70096178461	1.23585593418411E16	684258362371162
1256.36137210861	1.30384083427261E16	672892785946781
1258.55436068452	1.36609259115135E16	629100881247103
1260.21645415142	1.46934090660687E16	711319409014896
1262.46650771853	1.40995604730939E16	629219574167056
1263.98526669027	1.57602647574529E16	677919048162504
1265.69252718213	1.46908581605092E16	702598999588265
1267.45505730367	1.70037903619432E16	718312665847361
1269.31692161778	1.41820813328939E16	722380593132978
1271.6542764327	1.62821460649089E16	721371974292825
1273.3702258337	1.47502618097503E16	706935796450623
1275.41674038181	1.64230921298275E16	728231950791047
1277.07455969256	1.72203130435879E16	721136260439202
1279.01766321172	1.846978749326E16	728286209475008
1281.06832656384	1.82644707313693E16	783350835887634
1283.00562302901	1.95840091133114E16	759679891344104
1284.51126042281	1.91054365556425E16	785751995970752
1286.63934725188	1.88283791122628E16	757656796794842
1288.13906789416	2.0440885760699E16	807507904474479
1290.44326887175	2.02689549450247E16	745673742376746
1291.93539615525	2.28415887947933E16	793375857350415
1293.66286223865	2.04723172058257E16	760835157602795
1295.76385027222	2.05143274190578E16	809173391177482
1297.52290843817	2.10389268482075E16	850505423603575
1299.60849726	2.31506706408769E16	837263476182471
1301.31083282695	2.24589206749054E16	832846450416185
1303.00642062705	2.28576855141774E16	865570740444729
1305.10781548081	2.48722781411412E16	859359190852243
1307.11303046059	2.46417482911218E16	844614294056975
1308.41536070623	2.49922541930811E16	910506866710324
1310.48386943803	2.58468065389391E16	877951692373882
1312.22773082959	2.71419122199977E16	934050463226388
1314.17646450315	2.66280930627233E16	897809608068449
1315.98813980613	2.74030864212423E16	893626930605084
1317.5533274396	2.67962120772472E16	893339424594951
1319.11774852305	2.84820580883601E16	958677161307943
1321.05955575102	2.78484845964494E16	934221337705554
1322.54796102064	2.94855945152316E16	918159736763931
1324.15188359256	2.94110745042233E16	984389656254116
1326.00292219243	3.23465868285399E16	965795822368562
1327.44949259185	2.97045365988119E16	968671436992967
1328.92046528514	3.32000844821745E16	994707640076922
1330.83654201356	3.4708838019897E16	1.01417069364174E15
1332.60515332115	3.15091657743202E16	1.00405510209593E15
1334.18456384012	3.45427778092038E16	1.01309717868368E15
1335.38213942164	3.29172386095266E16	1.01597976777907E15
1337.19821007628	3.37881567129244E16	1.03145383013186E15
1338.44061381292	3.56257728412267E16	1.02554369302178E15
