K 1st I-TDS	Des D 50eV	err final
T sample		
1st I-TDS	1st I-TDS	1st I-TDS
527.593706106665	2.58978597826004E16	3.85346252183296E15
529.407917968957	2.8822982496305E16	3.88707830332021E15
531.00365711229	2.38369893786207E16	3.84324449991961E15
532.542431115779	2.72223265127464E16	3.78456257758347E15
534.342242330793	2.76996532622129E16	3.81034563901854E15
535.450726491969	2.71147372955223E16	3.68274283042369E15
537.347077597755	2.03237857576662E16	3.57823045264568E15
539.080731130683	2.76727654842754E16	3.76477200645993E15
540.809572126738	2.90940124772543E16	3.74196585223713E15
542.06283172133	2.62463443383784E16	3.61600853530132E15
543.835365669026	2.54844760099739E16	3.54671709100713E15
545.551115345938	2.42988900587201E16	3.52225712455092E15
546.744418460141	2.96902941893258E16	3.72988730124937E15
548.554141847383	2.51549941534966E16	3.34292107289941E15
550.205672851862	2.25211525948084E16	3.49620550103805E15
551.595359896891	2.50769641876764E16	3.41908768127487E15
553.443539056756	2.53319807577176E16	3.5094505206856E15
554.519934412724	2.50623561531239E16	3.37445290479421E15
556.103922465725	2.24900825869527E16	3.34015044633611E15
557.888286658577	2.34041926030086E16	3.29904722217103E15
558.905363179353	2.55394294690414E16	3.39967387948933E15
560.85888085014	2.39053207458958E16	3.30257855739402E15
561.694618511776	2.28331313124078E16	3.25009501173746E15
564.37133710605	2.52996541233179E16	3.35416486506407E15
565.379395860448	2.50324659706742E16	3.39127675053073E15
567.388575365584	1.95900652585735E16	3.14050947792243E15
569.092225318325	2.06943366162297E16	3.09560522481686E15
570.292351393415	2.43669151969991E16	3.19263901234356E15
571.489171445596	1.94810052649872E16	3.07783680700301E15
573.083084216288	2.10404955885108E16	3.19478385440957E15
574.523579889051	2.32350263194983E16	3.31907741450397E15
576.110281036712	2.18317550653442E16	3.17052280063918E15
577.173479297109	2.11684013211556E16	3.15113329984881E15
579.07365225141	1.95107767635801E16	3.16283327310461E15
580.354225163898	1.66854991667383E16	2.98841835711263E15
581.730373993468	1.69741230686668E16	2.92405857594526E15
583.054893762479	1.74009129626217E16	3.03032318854781E15
584.279291968939	1.79893263336191E16	2.98607324837226E15
585.696370287436	1.92324638757612E16	2.97571594467889E15
587.354664039006	1.55144332553833E16	2.92861983179023E15
588.912118571693	1.53310995122753E16	2.98758063480442E15
590.029571572935	1.32540653990012E16	2.89185408802595E15
591.28915228129	1.370827166245E16	2.88563382372997E15
592.789854988871	1.32762479656101E16	2.84523453921895E15
594.672309054951	1.2190771094101E16	2.73466815969601E15
595.347496713702	1.2954356242427E16	2.74198453695436E15
597.175479167875	1.36300233488688E16	2.81481594203765E15
598.183520894012	1.16592445837054E16	2.67863722594515E15
600.005649585008	1.15340262141268E16	2.70427276814213E15
601.392382826404	1.02946394419796E16	2.66956569079264E15
602.4900014762	1.14858203029534E16	2.66282355593281E15
604.015830405114	1.09664440409892E16	2.63953216297882E15
605.110798579678	1.13003904066715E16	2.67975308039691E15
606.677758715968	8.79428572877863E15	2.55140748623835E15
608.668848737472	9.60333560736771E15	2.49271754090962E15
610.135614507855	1.15656187278102E16	2.58601498430248E15
611.362303739474	8.57190673305291E15	2.50253849088829E15
612.918162945596	9.80639899882072E15	2.53201525085617E15
614.377315209861	9.55172903399751E15	2.47047972956338E15
616.20830854042	6.96732197146811E15	2.49131442618524E15
617.895270723245	5.15230809977246E15	2.28037239181313E15
619.672125806585	7.26079349133968E15	2.37219340677191E15
621.35234480073	7.22228106246937E15	2.4025787832055E15
622.890093286014	7.33551819211417E15	2.3937387209931E15
624.471555571498	1.0649292032427E16	2.57479006424913E15
626.142803037243	5.82739376444127E15	2.3087320104745E15
627.903387650714	6.46053428823219E15	2.30804055030337E15
629.938231319107	5.42053607545777E15	2.3106495407144E15
631.599794546665	5.30281968119245E15	2.26247711356079E15
633.028895709011	3.35206549722887E15	2.17120855420417E15
634.960335467244	5.01115765316685E15	2.378059011571E15
636.476195250685	2.26478099501629E15	2.12969228622813E15
638.356459612467	3.68709480379448E15	2.22177614109271E15
