t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1
13.42099361064994,-21648855463689.867,-1.808693470896643e-281,299.9999999999997,6.249453274961788e+18,5.113622576077425e+18,5.681807544927448e+18,2.396958344712675e+17
14.863092971714936,-21647588234140.34,-3.4719854005400654e-281,299.9999999999997,6.249400708727224e+18,5.113632056400004e+18,5.681818645585694e+18,2.396965991318284e+17
16.44940226888643,-21646194545388.7,-2.2040573054696993e-281,299.9999999999997,6.249342889572583e+18,5.11364248408792e+18,5.681830855535908e+18,2.3969744020661008e+17
18.194342495775075,-21644661806792.08,-2.503999207395117e-281,299.9999999999997,6.249279292982665e+18,5.113653953737808e+18,5.681844285544978e+18,2.3969836532616128e+17
20.113776745352585,-21642976180214.93,-3.8128443292650864e-281,299.9999999999997,6.249209342153517e+18,5.113666569376645e+18,5.681859057422447e+18,2.3969938288180874e+17
22.225154419887843,-21641122457697.89,-2.217680629373111e-281,299.9999999999997,6.249132402797716e+18,5.113680445398659e+18,5.681875305117659e+18,2.3970050210125382e+17
24.54766986187663,-21639083927397.008,-1.4532072135066092e-282,299.9999999999997,6.249047777437255e+18,5.113695707594626e+18,5.681893175925169e+18,2.397017331316354e+17
27.102436848064297,-21636842226725.33,-1.9041081325013197e-281,299.9999999999997,6.248954699134201e+18,5.113712494282512e+18,5.681912831808778e+18,2.3970308713077674e+17
29.91268053287073,-21634377181543.062,-2.544909464222075e-281,299.9999999999997,6.248852324605067e+18,5.113730957549394e+18,5.68193445085594e+18,2.3970457636740854e+17
33.003948586157804,-21631666630152.7,-9.360824600798636e-282,299.9999999999997,6.248739726659014e+18,5.113751264615245e+18,5.681958228874862e+18,2.397062143312422e+17
36.40434344477359,-21628686230762.977,-1.4950838502798865e-281,299.9999999999997,6.248615885894988e+18,5.113773599330366e+18,5.68198438114824e+18,2.397080158538376e+17
40.14477778925095,-21625409250988.777,-2.3676746122239112e-281,299.9999999999997,6.248479681587214e+18,5.113798163819276e+18,5.682013144358453e+18,2.3970999724129626e+17
44.25925556817605,-21621806337856.33,-1.7950349012924928e-281,299.9999999999997,6.248329881681035e+18,5.113825180285004e+18,5.682044778700696e+18,2.3971217641992074e+17
48.78518112499366,-21617845266683.03,-1.0451470144312343e-281,299.9999999999997,6.248165131815264e+18,5.113854892988985e+18,5.682079570201863e+18,2.3971457309605952e+17
53.763699237493036,-28365264066114.81,-1.4937405642670894e-281,301.96369923749324,6.247927400859219e+18,5.113897707982974e+18,5.682129785965152e+18,2.3971803233932682e+17
58.763699237493036,-55779910039313.0,-8.178755097305515e-281,306.9636992374927,6.247458235876674e+18,5.113981902366653e+18,5.682228960465485e+18,2.3972486439921034e+17
63.763699237493036,-107296643794089.03,-6.922802011298753e-281,311.96369923749313,6.246556508443449e+18,5.114143128063079e+18,5.682419730607451e+18,2.397380069279674e+17
68.76369923749303,-202022516500426.25,-1.2739282265559311e-280,316.96369923749273,6.24486013896083e+18,5.114445266652462e+18,5.682778927915622e+18,2.3976275427210688e+17
73.76369923749303,-372103743280896.06,-4.5420502671172306e-281,321.96369923749296,6.241738378571815e+18,5.114999029002266e+18,5.683440534723023e+18,2.3980834244739075e+17
78.76369923749303,-671143076973558.9,4.466645403978918e-281,326.9636992374931,6.236112886724383e+18,5.115992705497612e+18,5.684633922700134e+18,2.3989058901487578e+17
83.76369923749303,-1183522285267030.2,-9.41059643009606e-281,331.9636992374929,6.226201743070885e+18,5.11773561026002e+18,5.686738686564611e+18,2.400356933536176e+17
88.76369923749303,-2036304916313674.5,-5.367680787822793e-280,336.9636992374932,6.20916502927482e+18,5.120717452295979e+18,5.69036094367971e+18,2.4028554949256608e+17
93.76369923749303,-3407033532778552.0,-8.585582854212108e-280,341.96369923749296,6.180687029040614e+18,5.125676537568723e+18,5.696424104714647e+18,2.4070413926682976e+17
98.76369923749303,-5519098309068087.0,-1.6413584432073737e-279,346.96369923749313,6.134599560515599e+18,5.133657266056778e+18,5.706252664569168e+18,2.4138361303047568e+17
103.76369923749303,-8614720203204120.0,-4.46251426337676e-279,351.9636992374929,6.062734248162994e+18,5.146022481340372e+18,5.721610134345761e+18,2.424474918616908e+17
108.76369923749303,-1.2904779033212432e+16,-1.7269882434228823e-278,356.9636992374931,5.955198074297984e+18,5.164384644018712e+18,5.744651253398515e+18,2.4404831911204118e+17
113.76369923749303,-1.8511319729058348e+16,-3.008137111118854e-279,361.9636992374928,5.801132338363604e+18,5.190442701584558e+18,5.777778872291585e+18,2.463590190342841e+17
118.76369923749303,-2.5415710572578772e+16,-7.152754244990368e-278,366.9636992374931,5.589899252052717e+18,5.22573164046878e+18,5.823425078530563e+18,2.4955903076524634e+17
123.76369923749303,-3.3411461716937984e+16,7.444846824595137e-279,371.96369923749245,5.312635035771548e+18,5.271292977919855e+18,5.883784849358853e+18,2.5381670931016934e+17
128.76369923749303,-4.205273859514802e+16,-4.3437289196673906e-277,376.9636992374934,4.964190115000518e+18,5.327254646177679e+18,5.960514582840997e+18,2.5926833634745744e+17
