"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.3566e+06,1,1.205e-07,1.205e-07,0,0
6.3361e+06,1,1.21e-07,1.21e-07,0,0
6.3157e+06,1,1.215e-07,1.215e-07,0,0
6.2953e+06,1,1.22e-07,1.22e-07,0,0
6.2751e+06,1,1.225e-07,1.225e-07,0,0
6.2549e+06,1,1.23e-07,1.23e-07,0,0
6.2349e+06,1,1.235e-07,1.235e-07,0,0
6.2149e+06,1,1.24e-07,1.24e-07,0,0
6.1951e+06,1,1.245e-07,1.245e-07,0,0
6.1752e+06,1,1.25e-07,1.25e-07,0,0
6.1555e+06,1,1.255e-07,1.255e-07,0,0
6.1359e+06,1,1.26e-07,1.26e-07,0,0
6.1164e+06,1,1.265e-07,1.265e-07,0,0
6.0969e+06,1,1.27e-07,1.27e-07,0,0
6.0776e+06,1,1.275e-07,1.275e-07,0,0
6.0583e+06,1,1.28e-07,1.28e-07,0,0
6.0391e+06,1,1.285e-07,1.285e-07,0,0
6.02e+06,1,1.29e-07,1.29e-07,0,0
6.001e+06,1,1.295e-07,1.295e-07,0,0
5.982e+06,1,1.3e-07,1.3e-07,0,0
5.9632e+06,1,1.305e-07,1.305e-07,0,0
5.9444e+06,1,1.31e-07,1.31e-07,0,0
5.9258e+06,1,1.315e-07,1.315e-07,0,0
5.9072e+06,1,1.32e-07,1.32e-07,0,0
5.8887e+06,1,1.325e-07,1.325e-07,0,0
5.8702e+06,1,1.33e-07,1.33e-07,0,0
5.8519e+06,1,1.335e-07,1.335e-07,0,0
5.8336e+06,1,1.34e-07,1.34e-07,0,0
5.8154e+06,1,1.345e-07,1.345e-07,0,0
5.7973e+06,1,1.35e-07,1.35e-07,0,0
5.7793e+06,1,1.355e-07,1.355e-07,0,0
5.7613e+06,1,1.36e-07,1.36e-07,0,0
5.7435e+06,1,1.365e-07,1.365e-07,0,0
5.7257e+06,1,1.37e-07,1.37e-07,0,0
5.7079e+06,1,1.375e-07,1.375e-07,0,0
5.6903e+06,1,1.38e-07,1.38e-07,0,0
5.6728e+06,1,1.385e-07,1.385e-07,0,0
